"Statistic Label","Month","State","UNIT","VALUE"
"Total Exports (Seasonally Adjusted)","1990 January","State","Euro Thousand","1570383"
"Total Exports (Seasonally Adjusted)","1990 February","State","Euro Thousand","1451510"
"Total Exports (Seasonally Adjusted)","1990 March","State","Euro Thousand","1702804"
"Total Exports (Seasonally Adjusted)","1990 April","State","Euro Thousand","1641289"
"Total Exports (Seasonally Adjusted)","1990 May","State","Euro Thousand","1509504"
"Total Exports (Seasonally Adjusted)","1990 June","State","Euro Thousand","1503688"
"Total Exports (Seasonally Adjusted)","1990 July","State","Euro Thousand","1513274"
"Total Exports (Seasonally Adjusted)","1990 August","State","Euro Thousand","1354467"
"Total Exports (Seasonally Adjusted)","1990 September","State","Euro Thousand","1508337"
"Total Exports (Seasonally Adjusted)","1990 October","State","Euro Thousand","1457399"
"Total Exports (Seasonally Adjusted)","1990 November","State","Euro Thousand","1462850"
"Total Exports (Seasonally Adjusted)","1990 December","State","Euro Thousand","1553933"
"Total Exports (Seasonally Adjusted)","1991 January","State","Euro Thousand","1535334"
"Total Exports (Seasonally Adjusted)","1991 February","State","Euro Thousand","1481035"
"Total Exports (Seasonally Adjusted)","1991 March","State","Euro Thousand","1536067"
"Total Exports (Seasonally Adjusted)","1991 April","State","Euro Thousand","1477370"
"Total Exports (Seasonally Adjusted)","1991 May","State","Euro Thousand","1574934"
"Total Exports (Seasonally Adjusted)","1991 June","State","Euro Thousand","1603610"
"Total Exports (Seasonally Adjusted)","1991 July","State","Euro Thousand","1564152"
"Total Exports (Seasonally Adjusted)","1991 August","State","Euro Thousand","1623556"
"Total Exports (Seasonally Adjusted)","1991 September","State","Euro Thousand","1669901"
"Total Exports (Seasonally Adjusted)","1991 October","State","Euro Thousand","1700532"
"Total Exports (Seasonally Adjusted)","1991 November","State","Euro Thousand","1694908"
"Total Exports (Seasonally Adjusted)","1991 December","State","Euro Thousand","1619965"
"Total Exports (Seasonally Adjusted)","1992 January","State","Euro Thousand","1756031"
"Total Exports (Seasonally Adjusted)","1992 February","State","Euro Thousand","1743615"
"Total Exports (Seasonally Adjusted)","1992 March","State","Euro Thousand","1684875"
"Total Exports (Seasonally Adjusted)","1992 April","State","Euro Thousand","1703379"
"Total Exports (Seasonally Adjusted)","1992 May","State","Euro Thousand","1979780"
"Total Exports (Seasonally Adjusted)","1992 June","State","Euro Thousand","1744298"
"Total Exports (Seasonally Adjusted)","1992 July","State","Euro Thousand","1815073"
"Total Exports (Seasonally Adjusted)","1992 August","State","Euro Thousand","1813914"
"Total Exports (Seasonally Adjusted)","1992 September","State","Euro Thousand","1700325"
"Total Exports (Seasonally Adjusted)","1992 October","State","Euro Thousand","1747901"
"Total Exports (Seasonally Adjusted)","1992 November","State","Euro Thousand","1788337"
"Total Exports (Seasonally Adjusted)","1992 December","State","Euro Thousand","1728412"
"Total Exports (Seasonally Adjusted)","1993 January","State","Euro Thousand","1780616"
"Total Exports (Seasonally Adjusted)","1993 February","State","Euro Thousand","1937461"
"Total Exports (Seasonally Adjusted)","1993 March","State","Euro Thousand","2109590"
"Total Exports (Seasonally Adjusted)","1993 April","State","Euro Thousand","2031227"
"Total Exports (Seasonally Adjusted)","1993 May","State","Euro Thousand","2001912"
"Total Exports (Seasonally Adjusted)","1993 June","State","Euro Thousand","2033458"
"Total Exports (Seasonally Adjusted)","1993 July","State","Euro Thousand","2094419"
"Total Exports (Seasonally Adjusted)","1993 August","State","Euro Thousand","2189870"
"Total Exports (Seasonally Adjusted)","1993 September","State","Euro Thousand","2127591"
"Total Exports (Seasonally Adjusted)","1993 October","State","Euro Thousand","2256931"
"Total Exports (Seasonally Adjusted)","1993 November","State","Euro Thousand","2272165"
"Total Exports (Seasonally Adjusted)","1993 December","State","Euro Thousand","2312731"
"Total Exports (Seasonally Adjusted)","1994 January","State","Euro Thousand","2197394"
